first_name|last_name|Box Size|Account Number|Rush Order|Shipping Date|Delivery Date|Order Date|Courier|Number of Items|Total Cost|Shipping ID|Comments
Haslett|Folker|L|0004773|N|2022-06-01|2022-06-07|2022-06-01|USPS|1|48.55|000480538|
Murielle|Steele|M|0014958|N|2022-06-01|2022-06-03|2022-06-01|FedEx|2|71.10|000480539|
Sherwynd|Gullyes|2XL|0014965|N|2022-06-02|2022-06-07|2022-06-01|USPS|1|414.89|000480540|
Nevile|"O' Timony"|M|0015093|N|2022-06-01|2022-06-06|2022-06-01|USPS|4|18.52|000480541|
Kathrine|Hatherall|S|0015272|N|2022-06-01|2022-06-06|2022-06-01|USPS|1|7.57|000480542|
Priscilla|Mainds|L|0015357|N|2022-06-02|2022-06-05|2022-06-01|UPS|3|147.15|000480543|
Vinnie|Rowthorne|S|0015510|N|2022-06-01|2022-06-03|2022-06-01|FedEx|1|10.78|000480544|
Joletta|Stanfield|S|0015579|N|2022-06-01|2022-06-05|2022-06-01|USPS|1|51.86|000480545|
Agneta|Hansbury|2XL|0015751|N|2022-06-02|2022-06-07|2022-06-01|UPS|1|198.97|000480546|
Merrill|Kleinsmuntz|S|0005753|N|2022-06-02|2022-06-08|2022-06-01|FedEx|3|72.03|000480547|
Gaultiero|Dufour|L|0005772|N|2022-06-01|2022-06-06|2022-06-01|USPS|2|91.96|000480548|
Wenona|Messingham|L|0015791|N|2022-06-02|2022-06-07|2022-06-01|FedEx|6|131.94|000480549|
Lorenza|Featherstonhalgh|S|0005814|N|2022-06-01|2022-06-03|2022-06-01|FedEx|1|46.91|000480550|
Jeddy|Carnew|XS|0005895|N|2022-06-01|2022-06-05|2022-06-01|FEDEX|1|49.37|000480551|
Bruce|Jakel|M|0005919|N|2022-06-01|2022-06-03|2022-06-01|UPS|5|54.25|000480552|
Cos|Silber|3XL|0005935|N|2022-06-01|2022-06-07|2022-06-01|UPS|1|186.84|000480553|
Paxton|Baughen|L|0016059|Y|2022-06-01|2022-06-03|2022-06-01|FedEx|3|21.21|000480554|
Nell|Dranfield|XL|0016064|N|2022-06-01|2022-06-03|2022-06-01|USPS|6|77.34|000480555|
Emmett|Benstead|XL|0006141|N|2022-06-01|2022-06-06|2022-06-01|DHL|2|51.98|000480556|
Beauregard|Steckings|XS|0016194|N|2022-06-01|2022-06-05|2022-06-01|FedEx|1|23.94|000480557|
Darelle|Satterthwaite|2XL|0006201|N|2022-06-02|2022-06-06|2022-06-01|UPS|1|272.80|000480558|
Alonzo|Ace|S|0006333|N|2022-06-02|2022-06-06|2022-06-01|DHL|2|91.48|000480559|
Aguie|Lenz|XL|0006372|N|2022-06-02|2022-06-04|2022-06-01|UPS|7|70.21|000480560|
Fawne|Libero|3XL|0006398|N|2022-06-01|2022-06-04|2022-06-01|UPS|1|167.08|000480561|
Marietta|Davydzenko|S|0006499|Y|2022-06-01|2022-06-03|2022-06-01|FedEx|2|103.84|000480562|
Courtnay|Durtnal|2XL|0006561|N|2022-06-01|2022-06-07|2022-06-01|UPS|1|466.23|000480563|
Kissie|Ingleton|2XL|0016630|N|2022-06-01|2022-06-07|2022-06-01|DHL|1|340.02|000480564|
Ronni|Arnaldo|XS|0006653|N|2022-06-02|2022-06-06|2022-06-01|UPS|1|36.18|000480565|
Dominick|Licciardi|XS|0006923|N|2022-06-02|2022-06-05|2022-06-01|usps|1|46.91|000480566|
Lib|Maletratt|XL|0002611|N|2022-06-01|2022-06-06|2022-06-01|DHL|5|56.00|000480567|
Zebulon|Paddie|S|0013106|N|2022-06-02|2022-06-08|2022-06-01|UPS|2|14.86|000480568|
Serge|Rouse|XL|0003114|N|2022-06-01|2022-06-04|2022-06-01|FedEx|1|10.78|000480569|
Emanuel|Boate|M|0004388|N|2022-06-01|2022-06-07|2022-06-01|DHL|5|75.50|000480570|
Bennie|Doulden|L|0014451|Y|2022-06-02|2022-06-03|2022-06-01|FedEx|5|88.90|000480571|
Kaiser|Van Hove|XL|0004975|N|2022-06-01|2022-06-07|2022-06-01|USPS|2|74.82|000480572|
Neil|Capitano|S|0005038|N|2022-06-02|2022-06-06|2022-06-01|FedEx|1|52.64|000480573|
Shurlocke|Pavelin|2XL|0005563|N|2022-06-02|2022-06-05|2022-06-01|UPS|1|318.64|000480574|
Vita|Joyner|3XL|0015804|N|2022-06-02|2022-06-07|2022-06-01|UPS|1|445.71|000480575|
Dionis|Thorington|XL|0015971|N|2022-06-01|2022-06-03|2022-06-01|DHL|2|35.74|000480576|
Eddy|Feldheim|L|0006207|N|2022-06-01|2022-06-05|2022-06-01|UPS|3|149.22|000480577|
Tommie|Turnpenny|L|0016319|N|2022-06-01|2022-06-04|2022-06-01|DHL|6|71.88|000480578|
Arleta|Dupoy|M|0016581|N|2022-06-01|2022-06-03|2022-06-01|USPS|5|96.60|000480579|
" Hubey"|Moysey|""|0006774|N|2022-06-01|2022-06-07|2022-06-01|USPS|1|228.47|000480580|
Sebastian|Marxsen|L|0006919|N|2022-06-02|2022-06-08|2022-06-01|USPS|1|20.98|000480581|
Sebastian|Kilvington|XL|0012022|N|2022-06-02|2022-06-06|2022-06-01|UPS|3|56.58|000480582|
Hal|Cherry Holme|M|0002057|Y|2022-06-01|2022-06-02|2022-06-01|UPS|1|33.11|000480583|
Rip|Hallgarth|3XL|0012198|N|2022-06-01|2022-06-04|2022-06-01|FedEx|1|493.69|000480584|
Benedicto|Novak|XL|0012410|N|2022-06-01|2022-06-06|2022-06-01|UPS|5|62.00|000480585|
Jake|" Davidovsky"|XS|0012423|N|2022-06-01|2022-06-06|2022-06-01|FedEx|1|39.12|000480586|
Brandy|Odams|S|0003015|N|2022-06-01|2022-06-07|2022-06-01|UPS|2|103.64|000480587|
Irena|Jakovijevic|XL|0013235|N|2022-06-01|2022-06-07|2022-06-01|UPS|4|15.64|000480588|
Mariellen|Curtoys|3XL|0003571|N|2022-06-02|2022-06-07|2022-06-01|UPS|1|499.35|000480589|
Francesca|Astupenas|3XL|0003692|Y|2022-06-02|2022-06-04|2022-06-01|UPS|1|294.66|000480590|
Heinrik|Hawkswood|S|0004454|N|2022-06-01|2022-06-04|2022-06-01|UPS|3|85.56|000480591|
Sayres|Nutton|S|0004957|N|2022-06-02|2022-06-07|2022-06-01|UPS|2|93.06|000480592|
Omar|Bedlington|2XL|0015020|N|2022-06-01|2022-06-06|2022-06-01|UPS|1|218.68|000480593|
Giacopo|Waddy|XL|0015425|N|2022-06-01|2022-06-04|2022-06-01|UPS|3|85.05|000480594|
Giorgio|Glitherow|2XL|0015506|N|2022-06-01|2022-06-03|2022-06-01|UPS|1|217.25|000480595|
Paxton|Baughen|XL|0016059|N|2022-06-01|2022-06-03|2022-06-01|FedEx|1|30.17|000480596|
Rosemonde|Betteson|L|0016375|N|2022-06-01|2022-06-06|2022-06-01|UPS|3|10.62|000480597|
Thorpe|Cookman|M|0006904|N|2022-06-02|2022-06-08|2022-06-01|FedEx|5|46.70|000480598|
Hesther|Kirsch|XL|0012183|N|2022-06-01|2022-06-07|2022-06-01|FedEx|3|138.09|000480599|
Sindee|Gauche|XL|0012266|N|2022-06-02|2022-06-08|2022-06-01|UPS|8|102.24|000480600|
Aurlie|Fauning|M|0012748|Y|2022-06-02|2022-06-04|2022-06-01|UPS|4|36.24|000480601|
Robinet|Shakspeare|S|0002869|N|2022-06-01|2022-06-06|2022-06-01|DHL|3|41.25|000480602|
Bella|Jeffry|2XL|0012905|N|2022-06-01|2022-06-06|2022-06-01|UPS|1|491.94|000480603|
Joni|Kettlestringes|XL|0013672|N|2022-06-02|2022-06-04|2022-06-01|USPS|4|58.60|000480604|
" Akim"|Smeeth|M|0014028|N|2022-06-01|2022-06-07|2022-06-01|USPS|1|49.95|000480605|
Rusty|Flewan|XS|0014051|N|2022-06-02|2022-06-05|2022-06-01|UPS|1|6.96|000480606|
Teddi|Iddens|3XL|0014145|N|2022-06-01|2022-06-05|2022-06-01|FedEx|1|474.59|000480607|Heavy Order
Murielle|Empson|XL|0004240|N|2022-06-01|2022-06-07|2022-06-01|FedEx|5|115.90|000480608|
Trula|Allsebrook|L|0004251|Y|2022-06-02|2022-06-03|2022-06-01|FedEx|3|104.61|000480609|
Dallas|Abramovitz|""|0014556|N|2022-06-01|2022-06-06|2022-06-01|UPS|3|161.01|000480610|
" Alana"|Burgisi|3XL|0004828|N|2022-06-02|2022-06-08|2022-06-01|UPS|1|371.99|000480611|
Felisha|Carlick|2XL|0014964|N|2022-06-02|2022-06-06|2022-06-01|USPS|1|253.44|000480612|
Craggie|Rispine|S|0005397|N|2022-06-01|2022-06-03|2022-06-01|FedEx|1|43.17|000480613|
Lucius|Gwinnel|M|0005436|N|2022-06-01|2022-06-05|2022-06-01|FedEx|1|50.02|000480614|
Aurlie|Francecione|M|0015718|N|2022-06-02|2022-06-04|2022-06-01|FedEx|1|4.77|000480615|
Chicky|Farleigh|3XL|0005813|N|2022-06-02|2022-06-04|2022-06-01|FedEx|1|338.70|000480616|
Delcina|Undrill|L|0005825|N|2022-06-01|2022-06-06|2022-06-01|FedEx|4|21.56|000480617|
Cos|Silber|3XL|0005935|N|2022-06-01|2022-06-06|2022-06-01|FEDEX|1|425.96|000480618|
Ursulina|Dennert|XS|0016724|N|2022-06-02|2022-06-05|2022-06-01|FedEx|1|15.56|000480619|
Ethelin|Posnette|3XL|0016823|N|2022-06-01|2022-06-03|2022-06-01|USPS|1|144.46|000480620|
Giovanni|Kohlert|M|0006922|N|2022-06-01|2022-06-07|2022-06-01|UPS|2|99.86|000480621|
Osborne|Precious|XL|0012156|N|2022-06-01|2022-06-03|2022-06-01|FedEx|1|43.27|000480622|
Hyacinthia|Michallat|L|0012395|N|2022-06-01|2022-06-05|2022-06-01|UPS|2|71.82|000480623|
Bruce|Pochin|3XL|0002399|N|2022-06-02|2022-06-04|2022-06-01|UPS|1|322.30|000480624|
Sapphira|Yashanov|3XL|0002976|Y|2022-06-01|2022-06-02|2022-06-01|USPS|1|334.17|000480625|
Zebulon|Paddie|XS|0013106|N|2022-06-02|2022-06-07|2022-06-01|USPS||29.22|000480626|
Jedidiah|Roselli|L|0003887|N|2022-06-01|2022-06-06|2022-06-01|UPS|3|13.11|000480627|
Wilona|Gibbeson|M|0014065|N|2022-06-01|2022-06-07|2022-06-01|FedEx|5|32.95|000480628|
Modestine|Doe|3XL|0014132|N|2022-06-01|2022-06-03|2022-06-01|USPS|1|404.39|000480629|
Shayne|" Jerzykiewicz"|XS|0004170|N|2022-06-01|2022-06-06|2022-06-01|FedEx|1|24.53|000480630|
Brandi|Harrold|XL|0014194|N|2022-06-01|2022-06-05|2022-06-01|UPS|6|97.20|000480631|
Jeana|Pimblett|XL|0014245|N|2022-06-01|2022-06-06|2022-06-01|FedEx|7|148.54|000480632|
Vivyan|Wemm|XL|0014348|N|2022-06-01|2022-06-06|2022-06-01|UPS|6|82.92|000480633|
Constantia|Herries|3XL|0004380|N|2022-06-01|2022-06-03|2022-06-01|FedEx|1|325.92|000480634|
Grete|Justham|M|0015012|N|2022-06-01|2022-06-05|2022-06-01|UPS|5|86.85|000480635|
Charline|Flude|L|0005157|N|2022-06-01|2022-06-05|2022-06-01|FedEx|5|35.90|000480636|
Lowell|Crannis|XS|0005160|N|2022-06-01|2022-06-07|2022-06-01|USPS|1|18.56|000480637|
Morgana|Triplett|XS|0005185|N|2022-06-01|2022-06-06|2022-06-01|UPS|1|46.83|000480638|
Kimberly|Truss|3XL|0005197|N|2022-06-01|2022-06-04|2022-06-01|USPS|1|238.40|000480639|
" Ferris"|Kristoffersson|S|0015245|N|2022-06-01|2022-06-04|2022-06-01|UPS|1|27.55|000480640|
Malvina|Purselowe|M|0005385|N|2022-06-01|2022-06-07|2022-06-01|FedEx|3|137.04|000480641|
Berry|Condie|XS|0005499|N|2022-06-02|2022-06-06|2022-06-01|UPS|1|38.36|000480642|
Darelle|Picford|3XL|0005534|Y|2022-06-01|2022-06-03|2022-06-01|FedEx|1|484.32|000480643|
Timothea|Mor|XS|0015831|N|2022-06-02|2022-06-04|2022-06-01|FedEx|1|36.03|000480644|
Morris|Acock|2XL|0015909|N|2022-06-01|2022-06-06|2022-06-01|FedEx|1|483.35|000480645|
Sibby|Dumbarton|M|0015997|N|2022-06-01|2022-06-05|2022-06-01|UPS|1|3.99|000480646|
Dorelia|Quelch|M|0006010|N|2022-06-02|2022-06-06|2022-06-01|DHL|4|95.92|000480647|
Aguste|Livsey|2XL|0006031|N|2022-06-02|2022-06-07|2022-06-01|UPS|1|186.68|000480648|
Chiquia|Chetwin|2XL|0016339|Y|2022-06-01|2022-06-03|2022-06-01|UPS|1|265.95|000480649|
Ezechiel|Leckey|2XL|0006344|N|2022-06-02|2022-06-08|2022-06-01|USPS|1|130.31|000480650|
Cordie|Hullett|S|0016511|N|2022-06-01|2022-06-03|2022-06-01|FedEx|2|87.62|000480651|
Lesly|Brierley|M|0001992|N|2022-06-01|2022-06-07|2022-06-01|UPS|4|46.00|000480652|
Osborne|Precious|XL|0012156|N|2022-06-01|2022-06-06|2022-06-01|FedEx|1|14.03|000480653|
Nickie|Gritsunov|XL|0002385|N|2022-06-02|2022-06-08|2022-06-01|USPS|7|39.41|000480654|
Giana|Cardnell|XL|0012496|N|2022-06-01|2022-06-03|2022-06-01|UPS|4|29.56|000480655|
Nonah|Lindro|2XL|0012528|N|2022-06-02|2022-06-08|2022-06-01|USPS|1|140.62|000480656|
Korella|McGinty|3XL|0012594|N|2022-06-01|2022-06-06|2022-06-01|FedEx|1|392.46|000480657|
Candra|Neligan|2XL|0012615|N|2022-06-02|2022-06-06|2022-06-01|FedEx|1|249.91|000480658|
Leigh|Franchi|XS|0012722|N|2022-06-01|2022-06-05|2022-06-01|UPS|1|47.08|000480659|
Glenn|Spacey|L|0012732|N|2022-06-02|2022-06-07|2022-06-01|UPS|3|59.88|000480660|
Cissiee|Ephson|3XL|0002854|N|2022-06-01|2022-06-07|2022-06-01|USPS|1|327.64|000480661|
Worthington|Ferby|XS|0013046|Y|2022-06-01|2022-06-03|2022-06-01|UPS|1|47.63|000480662|
Josi|Dalmon|XL|0003118|N|2022-06-01|2022-06-05|2022-06-01|UPS|4|81.12|000480663|
Raddie|Simonson|2XL|0003182|N|2022-06-01|2022-06-06|2022-06-01|UPS|1|146.41|000480664|
Aurelie|Parkes|XL|0003481|N|2022-06-02|2022-06-06|2022-06-01|DHL|8|77.04|000480665|
Alana|Felgate|M|0003620|N|2022-06-01|2022-06-05|2022-06-01|FedEx|1|36.80|000480666|
Brion|Cissen|2XL|0003730|Y|2022-06-01|2022-06-02|2022-06-01|USPS|1|274.32|000480667|
Benjamin|Torrent|2XL|0013834|N|2022-06-02|2022-06-07|2022-06-01|UPS|1|415.06|000480668|
Jedidiah|Roselli|S|0003887|N|2022-06-01|2022-06-04|2022-06-01|USPS|1|40.91|000480669|
Jessey|Sherreard|L|0004014|N|2022-06-01|2022-06-07|2022-06-01|FedEx|6|37.20|000480670|
Mohammed|Ketteringham|XL|0004017|N|2022-06-02|2022-06-05|2022-06-01|DHL|7|90.23|000480671|
Lynea|Renvoys|XL|0004135|N|2022-06-01|2022-06-06|2022-06-01|DHL|4|20.16|000480672|
Adena|Castanone|3XL|0004270|N|2022-06-01|2022-06-03|2022-06-01|DHL|1|425.58|000480673|
Byrann|" Stobo"|XL|0004357|N|2022-06-02|2022-06-05|2022-06-01|USPS|5|96.95|000480674|
Mallory|Perche|3XL|0014520|N|2022-06-01|2022-06-07|2022-06-01|UPS|1|225.54|000480675|
Mattie|Pechacek|L|0014936|N|2022-06-01|2022-06-03|2022-06-01|UPS|6|127.32|000480676|
Tilda|Durden|3XL|0014949|N|2022-06-01|2022-06-03|2022-06-01|UPS|1|210.43|000480677|
Perkin|Shilburne|3XL|0014976|N|2022-06-01|2022-06-04|2022-06-01|UPS|1|470.35|000480678|
Bentley|"O'Hickey"|2XL|0015004|Y|2022-06-01|2022-06-02|2022-06-01|USPS|1|383.21|000480679|
Keefer|Konrad|M|0015090|N|2022-06-02|2022-06-04|2022-06-01|UPS|1|26.20|000480680|
Tabatha|Dadge|3XL|0015134|N|2022-06-01|2022-06-03|2022-06-01|DHL|1|403.99|000480681|
Phedra|Butfield|XL|0015228|N|2022-06-01|2022-06-05|2022-06-01|UPS|3|109.29|000480682|
Walsh|Ascough|3XL|0005261|N|2022-06-01|2022-06-04|2022-06-01|FedEx|1|305.44|000480683|
Adrianne|Gatecliffe|S|0015269|N|2022-06-01|2022-06-05|2022-06-01|USPS|1|10.54|000480684|
Malvina|Purselowe|M|0005385|N|2022-06-01|2022-06-04|2022-06-01|UPS|1|39.26|000480685|
Krystal|Skeat|2XL|0005511|N|2022-06-02|2022-06-07|2022-06-01|FedEx|1|431.01|000480686|
Staford|Von Hindenburg|XL|0015659|N|2022-06-01|2022-06-06|2022-06-01|FedEx|4|74.40|000480687|
Fernanda|Hofler|2XL|0015696|N|2022-06-01|2022-06-04|2022-06-01|UPS|1|289.63|000480688|
Ambros|Gives|3XL|0006056|N|2022-06-01|2022-06-04|2022-06-01|UPS|1|230.19|000480689|
Tersina|Flockhart|XS|0016086|Y|2022-06-01|2022-06-02|2022-06-01|UPS|1|52.03|000480690|
Jori|Blues|XL|0006169|N|2022-06-01|2022-06-06|2022-06-01|USPS|5|88.85|000480691|
Reggi|Downs|3XL|0016173|N|2022-06-01|2022-06-05|2022-06-01|FedEx|1|459.56|000480692|
Booth|Guitte|2XL|0016605|N|2022-06-01|2022-06-05|2022-06-01|USPS|1|395.93|000480693|
Worth|Dawkes|XS|0016621|N|2022-06-02|2022-06-04|2022-06-01|UPS|1|24.00|000480694|
Hurleigh|Furphy|XL|0016652|Y|2022-06-02|2022-06-03|2022-06-01|UPS|1|47.32|000480695|
Kayne|Worthing|L|0006656|N|2022-06-02|2022-06-08|2022-06-01|DHL|5|78.55|000480696|
Corty|Pollington|S|0006713|Y|2022-06-02|2022-06-04|2022-06-01|FedEx|2|27.68|000480697|
Ursa|Makepeace|2XL|0002075|N|2022-06-03|2022-06-08|2022-06-02|UPS|1|161.46|000480698|
Janelle|Shillingford|L|0012171|N|2022-06-03|2022-06-07|2022-06-02|FedEx|5|32.85|000480699|
Jenica|Rawet|2XL|0002228|N|2022-06-02|2022-06-05|2022-06-02|ups|1|189.81|000480700|
Prescott|Varney|M|0002242|N|2022-06-02|2022-06-05|2022-06-02|FedEx|1|45.76|000480701|
Alana|Smoote|XS|0012342|Y|2022-06-03|2022-06-04|2022-06-02|FedEx|1|15.51|000480702|
" Wanda"|Fittes|""|0002403|N|2022-06-02|2022-06-06|2022-06-02|UPS|1|170.31|000480703|
Conny|Mattholie|L|0002483|N|2022-06-03|2022-06-06|2022-06-02|UPS|4|57.76|000480704|
Tristam|Orth|3XL|0012510|N|2022-06-03|2022-06-07|2022-06-02|FedEx|1|318.62|000480705|
Dukie|Bruineman|3XL|0002632|Y|2022-06-02|2022-06-03|2022-06-02|UPS|1|175.29|000480706|
Cameron|Bigglestone|2XL|0012703|N|2022-06-02|2022-06-04|2022-06-02|FedEx|1|402.11|000480707|
Ferne|Hibling|2XL|0002850|N|2022-06-03|2022-06-08|2022-06-02|FedEx|1|166.23|000480708|
Jeniffer|Bowmer|XL|0003009|N|2022-06-03|2022-06-07|2022-06-02|FEDEX|6|18.18|000480709|
Anson|Saker|2XL|0013023|N|2022-06-03|2022-06-05|2022-06-02|FEDEX|1|256.03|000480710|
Evangelia|" Rameaux"|S|0003155|N|2022-06-03|2022-06-07|2022-06-02|FedEx|2|47.54|000480711|
Vernice|Guyver|S|0003197|N|2022-06-02|2022-06-05|2022-06-02|FedEx|2|9.34|000480712|
Maurits|Berthomieu|M|0003386|N|2022-06-03|2022-06-07|2022-06-02|USPS|5|77.60|000480713|
Ertha|Gaymar|2XL|0003521|N|2022-06-03|2022-06-07|2022-06-02|USPS|1|514.55|000480714|
Winne|McCarlie|L|0003857|N|2022-06-02|2022-06-07|2022-06-02|DHL|6|95.28|000480715|
Flory|Ruzic|XL|0013910|N|2022-06-03|2022-06-09|2022-06-02|UPS|3|52.23|000480716|
Karlens|Wey|XS|0003958|Y|2022-06-03|2022-06-05|2022-06-02|UPS|1|22.98|000480717|
Cirstoforo|Lerohan|""|0004061|N|2022-06-02|2022-06-05|2022-06-02|DHL|3|97.95|000480718|
Tannie|Enderwick|XL|0014070|N|2022-06-03|2022-06-08|2022-06-02|FedEx|1|12.24|000480719|
Winnah|Saiz|S|0004086|N|2022-06-03|2022-06-06|2022-06-02|FedEx|2|7.84|000480720|
Elle|Higginbottam|2XL|0014101|N|2022-06-03|2022-06-07|2022-06-02|DHL|1|167.93|000480721|
Shannon|Caulfield|L|0004159|N|2022-06-02|2022-06-08|2022-06-02|UPS|5|44.45|000480722|
Greer|Lynnitt|XS|0004160|N|2022-06-03|2022-06-05|2022-06-02|USPS|1|4.72|000480723|
Carie|Grazier|M|0014340|N|2022-06-02|2022-06-07|2022-06-02|UPS|4|45.80|000480724|
Flynn|Theunissen|2XL|0004592|N|2022-06-03|2022-06-05|2022-06-02|FedEx|1|208.58|000480725|
Melosa|Mila|L|0004691|N|2022-06-02|2022-06-08|2022-06-02|DHL|3|118.35|000480726|
Grete|Justham|2XL|0015012|N|2022-06-02|2022-06-05|2022-06-02|FedEx|1|503.13|000480727|
Lucy|Rozea|3XL|0005071|N|2022-06-03|2022-06-05|2022-06-02|FedEx|1|213.97|000480728|Delicate
Madelle|Gurys|L|0005127|N|2022-06-02|2022-06-07|2022-06-02|USPS|1|9.52|000480729|
Viviana|Corradetti|S|0005136|N|2022-06-03|2022-06-06|2022-06-02|UPS|3|94.80|000480730|
Maureen|Lasslett|""|0015217|N|2022-06-03|2022-06-05|2022-06-02|UPS|3|129.96|000480731|
Reeba|Treleaven|2XL|0005253|N|2022-06-03|2022-06-06|2022-06-02|FedEx|1|151.51|000480732|
Tilda|Sicha|XL|0005358|N|2022-06-03|2022-06-07|2022-06-02|FedEx|1|29.44|000480733|
Rem|Schubbert|2XL|0005402|N|2022-06-02|2022-06-06|2022-06-02|UPS|1|195.71|000480734|
Andros|Wynett|XL|0005413|N|2022-06-03|2022-06-09|2022-06-02|DHL|4|12.16|000480735|
Vikki|Rentelll|M|0005445|N|2022-06-02|2022-06-08|2022-06-02|usps|2|37.72|000480736|
Randee|Earwaker|M|0005458|N|2022-06-03|2022-06-06|2022-06-02|USPS|5|82.95|000480737|
Tiertza|Bloxsome|3XL|0015473|N|2022-06-02|2022-06-07|2022-06-02|USPS|1|351.22|000480738|
Noelyn|Sprackling|2XL|0015585|N|2022-06-03|2022-06-07|2022-06-02|USPS|1|448.34|000480739|
Karita|Scholer|M|0015850|N|2022-06-03|2022-06-08|2022-06-02|FedEx|2|6.28|000480740|
Sydney|Mussalli|XS|0016071|Y|2022-06-02|2022-06-04|2022-06-02|UPS|1|47.88|000480741|
Tersina|Flockhart|M|0016086|N|2022-06-02|2022-06-06|2022-06-02|FedEx|2|41.90|000480742|
" Faunie"|Tewes|M|0016105|N|2022-06-02|2022-06-08|2022-06-02|FedEx|4|75.16|000480743|
Evangeline|" Tejada"|XL|0006174|N|2022-06-03|2022-06-07|2022-06-02|UPS|7|21.00|000480744|
Melania|McGeachie|2XL|0006203|N|2022-06-03|2022-06-08|2022-06-02|FedEx|1|431.95|000480745|
Ingamar|Josefowicz|3XL|0006366|N|2022-06-03|2022-06-09|2022-06-02|DHL|1|147.38|000480746|
Tabatha|Vasyanin|S|0006569|N|2022-06-02|2022-06-06|2022-06-02|FedEx|1|42.88|000480747|
Eben|Deluze|XL|0006784|N|2022-06-02|2022-06-07|2022-06-02|UPS|4|55.24|000480748|
